,Unnamed: 0,Litres,PDF,Wiki,Имя,Short name,Отчество,Фамилия,Название,Ссылка,Score,Авт. Права,Дата смерти,Wiki id,Авт. права wiki
24,24,0,0,1,Древнерусская,Д,,литература,Преподобный Сергий Радонежский (фрагменты очерка Б. Зайцева),ru.wikisource.org/wiki/%D0%96%D0%B8%D1%82%D0%B8%D0%B5_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D0%BF%D0%B0_%D0%90%D0%B2%D0%B2%D0%B0%D0%BA%D1%83%D0%BC%D0%B0,1,1,,Q445179,1
25,25,0,0,1,М.,М,В.,Ломоносов,Ода на день восшествия на престол Елисаветы Петровны,ru.wikisource.org/wiki/%D0%9E%D0%B4%D0%B0_%D0%BD%D0%B0_%D0%B4%D0%B5%D0%BD%D1%8C_%D0%B2%D0%BE%D1%81%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D1%8F_%D0%BD%D0%B0_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D0%BE%D0%BB_%D0%95%D0%BB%D0%B8%D1%81%D0%B0%D0%B2%D0%B5%D1%82%D1%8B_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D1%8B,1,0,"(4, 4, 1765)",Q58720,0
26,26,0,0,1,М.,М,В.,Ломоносов,Вечернее размышление о Божием величестве при случае великого северного сияния,ru.wikisource.org/wiki/%D0%92%D0%B5%D1%87%D0%B5%D1%80%D0%BD%D0%B5%D0%B5_%D1%80%D0%B0%D0%B7%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE_%D0%91%D0%BE%D0%B6%D0%B8%D0%B5%D0%BC_%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5_%D0%BF%D1%80%D0%B8_%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B5_%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B3%D0%BE_%D1%81%D0%B5%D0%B2%D0%B5%D1%80%D0%BD%D0%BE%D0%B3%D0%BE_%D1%81%D0%B8%D1%8F%D0%BD%D0%B8%D1%8F,1,0,"(4, 4, 1765)",Q58720,0
27,27,0,0,1,М.,М,В.,Ломоносов,Разговор с Анакреонтом,ru.wikisource.org/wiki/%D0%A0%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D1%81_%D0%90%D0%BD%D0%B0%D0%BA%D1%80%D0%B5%D0%BE%D0%BD%D1%82%D0%BE%D0%BC,1,0,"(4, 4, 1765)",Q58720,0
28,28,0,0,1,М.,М,В.,Ломоносов,Случились вместе два астронома в пиру,ru.wikisource.org/wiki/%D0%A1%D0%BB%D1%83%D1%87%D0%B8%D0%BB%D0%B8%D1%81%D1%8C_%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B5_%D0%B4%D0%B2%D0%B0_%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0_%D0%B2_%D0%BF%D0%B8%D1%80%D1%83,1,0,"(4, 4, 1765)",Q58720,0
29,29,0,0,1,М.,М,В.,Ломоносов,К статуе Петра Великого,ru.wikisource.org/wiki/%D0%9A_%D1%81%D1%82%D0%B0%D1%82%D1%83%D0%B5_%D0%9F%D0%B5%D1%82%D1%80%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B3%D0%BE,1,0,"(4, 4, 1765)",Q58720,0
30,30,0,0,1,Г.,Г,Р.,Державин,Властителям и судиям,ru.wikisource.org/wiki/%D0%92%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%D0%BC_%D0%B8_%D1%81%D1%83%D0%B4%D0%B8%D1%8F%D0%BC,1,0,"(8, 7, 1816)",Q270275,0
31,31,0,0,1,Г.,Г,Р.,Державин,Снигирь,ru.wikisource.org/wiki/%D0%A1%D0%BD%D0%B8%D0%B3%D0%B8%D1%80%D1%8C,1,0,"(8, 7, 1816)",Q270275,0
32,32,0,0,1,Г.,Г,Р.,Державин,Признание,ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B8%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%B8%D0%BD),1,0,"(8, 7, 1816)",Q270275,0
33,33,0,0,1,Г.,Г,Р.,Державин,На птичку,ru.wikisource.org/wiki/%D0%9D%D0%B0_%D0%BF%D1%82%D0%B8%D1%87%D0%BA%D1%83,1,0,"(8, 7, 1816)",Q270275,0
