,Litres,PDF,Wiki,Имя,Название,Отчество,Ссылка,Фамилия,Short name,Score
28,0,0,1,М.,Случились вместе два астронома в пиру,В.,ru.wikisource.org/wiki/%D0%A1%D0%BB%D1%83%D1%87%D0%B8%D0%BB%D0%B8%D1%81%D1%8C_%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B5_%D0%B4%D0%B2%D0%B0_%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B0_%D0%B2_%D0%BF%D0%B8%D1%80%D1%83,Ломоносов,М,1
29,0,0,1,М.,К статуе Петра Великого,В.,ru.wikisource.org/wiki/%D0%9A_%D1%81%D1%82%D0%B0%D1%82%D1%83%D0%B5_%D0%9F%D0%B5%D1%82%D1%80%D0%B0_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B3%D0%BE,Ломоносов,М,1
30,0,0,1,Г.,Властителям и судиям,Р.,ru.wikisource.org/wiki/%D0%92%D0%BB%D0%B0%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8F%D0%BC_%D0%B8_%D1%81%D1%83%D0%B4%D0%B8%D1%8F%D0%BC,Державин,Г,1
31,0,0,1,Г.,Снигирь,Р.,ru.wikisource.org/wiki/%D0%A1%D0%BD%D0%B8%D0%B3%D0%B8%D1%80%D1%8C,Державин,Г,1
32,0,0,1,Г.,Признание,Р.,ru.wikisource.org/wiki/%D0%9F%D1%80%D0%B8%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%B8%D0%BD),Державин,Г,1
33,0,0,1,Г.,На птичку,Р.,ru.wikisource.org/wiki/%D0%9D%D0%B0_%D0%BF%D1%82%D0%B8%D1%87%D0%BA%D1%83,Державин,Г,1
34,0,0,1,Г.,Памятник,Р.,ru.wikisource.org/wiki/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_(%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%B8%D0%BD),Державин,Г,1
35,0,0,1,Г.,Река времён в своём стремленьи,Р.,ru.wikisource.org/wiki/%D0%A0%D0%B5%D0%BA%D0%B0_%D0%B2%D1%80%D0%B5%D0%BC%D1%91%D0%BD_%D0%B2_%D1%81%D0%B2%D0%BE%D1%91%D0%BC_%D1%81%D1%82%D1%80%D0%B5%D0%BC%D0%BB%D0%B5%D0%BD%D1%8C%D0%B8,Державин,Г,1
36,0,0,1,Н.,Осень,М.,ru.wikisource.org/wiki/%D0%9E%D1%81%D0%B5%D0%BD%D1%8C_(%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B7%D0%B8%D0%BD),Карамзин,Н,1
37,0,0,1,И.,Ворона и Лисица,А.,ru.wikisource.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%B0_%D0%B8_%D0%9B%D0%B8%D1%81%D0%B8%D1%86%D0%B0_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2),Крылов,И,1
38,0,0,1,И.,Квартет,А.,ru.wikisource.org/wiki/%D0%9A%D0%B2%D0%B0%D1%80%D1%82%D0%B5%D1%82,Крылов,И,1
39,0,0,1,И.,"Лебедь, рак и щука",А.,"ru.wikisource.org/wiki/%D0%9B%D0%B5%D0%B1%D0%B5%D0%B4%D1%8C,_%D0%A9%D1%83%D0%BA%D0%B0_%D0%B8_%D0%A0%D0%B0%D0%BA_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2)",Крылов,И,1
40,0,0,1,И.,Свинья под дубом,А.,ru.wikisource.org/wiki/%D0%A1%D0%B2%D0%B8%D0%BD%D1%8C%D1%8F_%D0%BF%D0%BE%D0%B4_%D0%B4%D1%83%D0%B1%D0%BE%D0%BC,Крылов,И,1
41,0,0,1,И.,Волк и Ягнёнок,А.,ru.wikisource.org/wiki/%D0%92%D0%BE%D0%BB%D0%BA_%D0%B8_%D0%AF%D0%B3%D0%BD%D1%91%D0%BD%D0%BE%D0%BA_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2),Крылов,И,1
42,0,0,1,И.,Демьянова уха,А.,ru.wikisource.org/wiki/%D0%94%D0%B5%D0%BC%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D0%B0_%D1%83%D1%85%D0%B0,Крылов,И,1
43,0,0,1,И.,Лжец,А.,ru.wikisource.org/wiki/%D0%9B%D0%B6%D0%B5%D1%86,Крылов,И,1
44,0,0,1,И.,Любопытный,А.,ru.wikisource.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BE%D0%BF%D1%8B%D1%82%D0%BD%D1%8B%D0%B9_(%D0%9A%D1%80%D1%8B%D0%BB%D0%BE%D0%B2),Крылов,И,1
45,0,0,1,И.,Две бочки,А.,ru.wikisource.org/wiki/%D0%94%D0%B2%D0%B5_%D0%B1%D0%BE%D1%87%D0%BA%D0%B8,Крылов,И,1
46,0,0,1,И.,Волк на псарне,А.,ru.wikisource.org/wiki/%D0%92%D0%BE%D0%BB%D0%BA_%D0%BD%D0%B0_%D0%BF%D1%81%D0%B0%D1%80%D0%BD%D0%B5,Крылов,И,1
47,0,0,1,И.,Осёл и соловей,А.,ru.wikisource.org/wiki/%D0%9E%D1%81%D1%91%D0%BB_%D0%B8_%D1%81%D0%BE%D0%BB%D0%BE%D0%B2%D0%B5%D0%B9,Крылов,И,1
