;Имя;Отчество;Фамилия;Название;PDF;Wiki;Ссылка
76;Ф.;М.;Достоевский;Бедные люди;1;1;ru.wikisource.org/wiki/%D0%91%D0%B5%D0%B4%D0%BD%D1%8B%D0%B5_%D0%BB%D1%8E%D0%B4%D0%B8_(%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9)
77;Ф.;М.;Достоевский;Идиот;1;1;ru.wikisource.org/wiki/%D0%98%D0%B4%D0%B8%D0%BE%D1%82
78;Ф.;М.;Достоевский;Мальчик у Христа на ёлке;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D0%BA_%D1%83_%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%B0_%D0%BD%D0%B0_%D1%91%D0%BB%D0%BA%D0%B5
79;Ф.;М.;Достоевский;Униженные и оскорбленные;1;0;
80;Ф.;М.;Достоевский;Бесы;1;0;
81;Ф.;М.;Достоевский;Неточка Незванова;1;0;
82;М.;;Твен;Приключения Тома Сойера;0;1;ru.wikisource.org/wiki/%D0%A7%D0%B5%D1%80%D0%B5%D0%BF%D0%B0%D1%85%D0%B0
83;М.;;Твен;Приключения Гекльберри Финна;0;1;ru.wikisource.org/wiki/%D0%A7%D0%B5%D1%80%D0%B5%D0%BF%D0%B0%D1%85%D0%B0
84;М.;;Твен;Янки при дворе короля Артура;1;0;
85;М.;;Твен;Принц и нищий;1;0;
86;И.;А.;Гончаров;Обыкновенная история;1;1;ru.wikisource.org/wiki/%D0%9E%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_(%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80%D0%BE%D0%B2)
87;И.;А.;Гончаров;Обломов;1;1;ru.wikisource.org/wiki/%D0%9E%D0%B1%D0%BB%D0%BE%D0%BC%D0%BE%D0%B2
88;И.;А.;Гончаров;Обрыв;1;1;ru.wikisource.org/wiki/%D0%9E%D0%B1%D1%80%D1%8B%D0%B2
89;И.;А.;Гончаров;Мильон терзаний;0;1;ru.wikisource.org/wiki/%D0%9C%D0%B8%D0%BB%D1%8C%D0%BE%D0%BD_%D1%82%D0%B5%D1%80%D0%B7%D0%B0%D0%BD%D0%B8%D0%B9
90;И.;А.;Гончаров;Фрегат Паллада;1;0;
91;Н.;М.;Карамзин;Осень;0;1;ru.wikisource.org/wiki/%D0%9E%D1%81%D0%B5%D0%BD%D1%8C_(%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B7%D0%B8%D0%BD)
92;Н.;М.;Карамзин;Остров Борнгольм;1;0;
93;Н.;М.;Карамзин;Бедная Лиза;1;0;
