	id	author_id	book_name	book_url
67	67	20	Выстрел	/wiki/%D0%92%D1%8B%D1%81%D1%82%D1%80%D0%B5%D0%BB
68	68	20	Гробовщик	/wiki/%D0%93%D1%80%D0%BE%D0%B1%D0%BE%D0%B2%D1%89%D0%B8%D0%BA
69	69	20	Барышня-крестьянка	/wiki/%D0%91%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8F-%D0%BA%D1%80%D0%B5%D1%81%D1%82%D1%8C%D1%8F%D0%BD%D0%BA%D0%B0
70	70	20	Дубровский	/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9
71	71	20	Капитанская дочка	/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0
72	72	20	Руслан и Людмила	/wiki/%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%B8_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0
73	73	20	Полтава	/wiki/%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D0%B0
74	74	20	Медный всадник	/wiki/%D0%9C%D0%B5%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B2%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
75	75	20	Евгений Онегин	/wiki/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD
76	76	20	Борис Годунов	/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
77	77	20	Пушкину	/wiki/%D0%92._%D0%9B._%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D1%83_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
78	78	20	Зимнее утро	/wiki/%D0%97%D0%B8%D0%BC%D0%BD%D0%B5%D0%B5_%D1%83%D1%82%D1%80%D0%BE
79	79	20	Зимний вечер	/wiki/%D0%97%D0%B8%D0%BC%D0%BD%D0%B8%D0%B9_%D0%B2%D0%B5%D1%87%D0%B5%D1%80
80	80	20	Узник	/wiki/%D0%A3%D0%B7%D0%BD%D0%B8%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
81	81	20	Песнь о вещем Олеге	/wiki/%D0%9F%D0%B5%D1%81%D0%BD%D1%8C_%D0%BE_%D0%B2%D0%B5%D1%89%D0%B5%D0%BC_%D0%9E%D0%BB%D0%B5%D0%B3%D0%B5
82	82	20	Я вас любил	/wiki/%D0%AF_%D0%B2%D0%B0%D1%81_%D0%BB%D1%8E%D0%B1%D0%B8%D0%BB_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
83	83	20	Я помню чудное мгновенье	/wiki/%D0%9A_***_%D0%9A%D0%B5%D1%80%D0%BD_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
84	84	20	Анчар	/wiki/%D0%90%D0%BD%D1%87%D0%B0%D1%80
85	85	20	Вновь я посетил	/wiki/%D0%92%D0%BD%D0%BE%D0%B2%D1%8C_%D1%8F_%D0%BF%D0%BE%D1%81%D0%B5%D1%82%D0%B8%D0%BB
86	86	20	Птичка	/wiki/%D0%9F%D1%82%D0%B8%D1%87%D0%BA%D0%B0_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
87	87	20	Туча	/wiki/%D0%A2%D1%83%D1%87%D0%B0_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
88	88	20	Ещё дуют холодные ветры	/wiki/%D0%95%D1%89%D1%91_%D0%B4%D1%83%D1%8E%D1%82_%D1%85%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D0%B2%D0%B5%D1%82%D1%80%D1%8B
89	89	20	Бесы	/wiki/%D0%91%D0%B5%D1%81%D1%8B_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
90	90	20	Жених	/wiki/%D0%96%D0%B5%D0%BD%D0%B8%D1%85_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
91	91	20	Зимняя дорога	/wiki/%D0%97%D0%B8%D0%BC%D0%BD%D1%8F%D1%8F_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B0
92	92	20	К Чаадаеву	/wiki/%D0%9A_%D0%A7%D0%B0%D0%B0%D0%B4%D0%B0%D0%B5%D0%B2%D1%83_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
93	93	20	Во глубине сибирских руд	/wiki/%D0%92%D0%BE_%D0%B3%D0%BB%D1%83%D0%B1%D0%B8%D0%BD%D0%B5_%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA%D0%B8%D1%85_%D1%80%D1%83%D0%B4
94	94	20	19 октября	/wiki/19_%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8F_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
95	95	20	На холмах Грузии	/wiki/%D0%9D%D0%B0_%D1%85%D0%BE%D0%BB%D0%BC%D0%B0%D1%85_%D0%93%D1%80%D1%83%D0%B7%D0%B8%D0%B8
96	96	20	Мадона	/wiki/%D0%9C%D0%B0%D0%B4%D0%BE%D0%BD%D0%B0_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
97	97	20	Арион	/wiki/%D0%90%D1%80%D0%B8%D0%BE%D0%BD
98	98	20	Признание	/wiki/%D0%9F%D1%80%D0%B8%D0%B7%D0%BD%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
99	99	20	Поэт	/wiki/%D0%9F%D0%BE%D1%8D%D1%82_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
100	100	20	Я памятник себе воздвиг нерукотворный	/wiki/%D0%AF_%D0%BF%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D1%81%D0%B5%D0%B1%D0%B5_%D0%B2%D0%BE%D0%B7%D0%B4%D0%B2%D0%B8%D0%B3_%D0%BD%D0%B5%D1%80%D1%83%D0%BA%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D0%BD%D1%8B%D0%B9
101	101	20	Няне	/wiki/%D0%9D%D1%8F%D0%BD%D0%B5
102	102	20	И. И. Пущину	/wiki/%D0%98._%D0%98._%D0%9F%D1%83%D1%89%D0%B8%D0%BD%D1%83
103	103	20	Сожженное письмо	/wiki/%D0%A1%D0%BE%D0%B6%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%BE
104	104	20	Храни меня, мой талисман	/wiki/%D0%A5%D1%80%D0%B0%D0%BD%D0%B8_%D0%BC%D0%B5%D0%BD%D1%8F,_%D0%BC%D0%BE%D0%B9_%D1%82%D0%B0%D0%BB%D0%B8%D1%81%D0%BC%D0%B0%D0%BD
105	105	20	Кипренскому	/wiki/%D0%9A%D0%B8%D0%BF%D1%80%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%BC%D1%83
106	106	20	Цветок	/wiki/%D0%A6%D0%B2%D0%B5%D1%82%D0%BE%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
107	107	20	Пророк	/wiki/%D0%9F%D1%80%D0%BE%D1%80%D0%BE%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
108	108	21	Герой нашего времени	/wiki/%D0%93%D0%B5%D1%80%D0%BE%D0%B9_%D0%BD%D0%B0%D1%88%D0%B5%D0%B3%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
109	109	21	Беглец	/wiki/%D0%91%D0%B5%D0%B3%D0%BB%D0%B5%D1%86_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
110	110	21	Песня про купца Калашникова	/wiki/%D0%9F%D0%B5%D1%81%D0%BD%D1%8F_%D0%BF%D1%80%D0%BE_%D1%86%D0%B0%D1%80%D1%8F_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87%D0%B0,_%D0%BC%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B3%D0%BE_%D0%BE%D0%BF%D1%80%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%D0%B0_%D0%B8_%D1%83%D0%B4%D0%B0%D0%BB%D0%BE%D0%B3%D0%BE_%D0%BA%D1%83%D0%BF%D1%86%D0%B0_%D0%9A%D0%B0%D0%BB%D0%B0%D1%88%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
111	111	21	Мцыри	/wiki/%D0%9C%D1%86%D1%8B%D1%80%D0%B8_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
112	112	21	Пленный рыцарь	/wiki/%D0%9F%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%80%D1%8B%D1%86%D0%B0%D1%80%D1%8C_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
113	113	21	Завещание	/wiki/%D0%97%D0%B0%D0%B2%D0%B5%D1%89%D0%B0%D0%BD%D0%B8%D0%B5_(%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2)
